,Strategy,Total Return (%),Sharpe Ratio,Max Drawdown (%),Win Rate (%),Total Trades
0,MACDRSIStrategy,0.05144941999999375,-37.87313015385294,0.44550630193379803,100.0,1
1,BollingerStochStrategy,-0.12390945999998237,-17.39365523704743,0.6611872179086296,56.14035087719298,57
2,RSIATRStrategy,0.09557892000000567,-19.925116123930707,0.4422156348578298,34.177215189873415,79
