Gmt time,Open,High,Low,Close,Volume
01.01.2023 00:00:00.000,1.07026,1.07026,1.07026,1.07026,0
01.01.2023 01:00:00.000,1.07026,1.07026,1.07026,1.07026,0
01.01.2023 02:00:00.000,1.07026,1.07026,1.07026,1.07026,0
01.01.2023 03:00:00.000,1.07026,1.07026,1.07026,1.07026,0
01.01.2023 04:00:00.000,1.07026,1.07026,1.07026,1.07026,0
01.01.2023 05:00:00.000,1.07026,1.07026,1.07026,1.07026,0
01.01.2023 06:00:00.000,1.07026,1.07026,1.07026,1.07026,0
01.01.2023 07:00:00.000,1.07026,1.07026,1.07026,1.07026,0
01.01.2023 08:00:00.000,1.07026,1.07026,1.07026,1.07026,0
01.01.2023 09:00:00.000,1.07026,1.07026,1.07026,1.07026,0
01.01.2023 10:00:00.000,1.07026,1.07026,1.07026,1.07026,0
01.01.2023 11:00:00.000,1.07026,1.07026,1.07026,1.07026,0
01.01.2023 12:00:00.000,1.07026,1.07026,1.07026,1.07026,0
01.01.2023 13:00:00.000,1.07026,1.07026,1.07026,1.07026,0
01.01.2023 14:00:00.000,1.07026,1.07026,1.07026,1.07026,0
01.01.2023 15:00:00.000,1.07026,1.07026,1.07026,1.07026,0
01.01.2023 16:00:00.000,1.07026,1.07026,1.07026,1.07026,0
01.01.2023 17:00:00.000,1.07026,1.07026,1.07026,1.07026,0
01.01.2023 18:00:00.000,1.07026,1.07026,1.07026,1.07026,0
01.01.2023 19:00:00.000,1.07026,1.07026,1.07026,1.07026,0
01.01.2023 20:00:00.000,1.07026,1.07026,1.07026,1.07026,0
01.01.2023 21:00:00.000,1.07026,1.07026,1.07026,1.07026,0
01.01.2023 22:00:00.000,1.06970,1.07066,1.06788,1.06929,2477.4199
01.01.2023 23:00:00.000,1.06896,1.07047,1.06829,1.07005,4932.96
02.01.2023 00:00:00.000,1.07007,1.07058,1.06912,1.07040,3522.1299
02.01.2023 01:00:00.000,1.07041,1.07087,1.06919,1.06977,432.28
02.01.2023 02:00:00.000,1.06977,1.06977,1.06862,1.06904,1581.3
02.01.2023 03:00:00.000,1.06904,1.07027,1.06886,1.06899,2716.1001
02.01.2023 04:00:00.000,1.06896,1.07020,1.06887,1.06993,5497.8701
02.01.2023 05:00:00.000,1.06994,1.06997,1.06872,1.06938,2880.01
02.01.2023 06:00:00.000,1.06943,1.06996,1.06741,1.06894,3402.8701
02.01.2023 07:00:00.000,1.06891,1.06922,1.06632,1.06786,9999.7695
02.01.2023 08:00:00.000,1.06794,1.06971,1.06712,1.06790,12153.0703
02.01.2023 09:00:00.000,1.06791,1.06994,1.06766,1.06786,11658.4297
02.01.2023 10:00:00.000,1.06786,1.06896,1.06743,1.06833,5019.8301
02.01.2023 11:00:00.000,1.06833,1.06864,1.06800,1.06842,3199.8401
02.01.2023 12:00:00.000,1.06841,1.06870,1.06763,1.06822,4065.6399
02.01.2023 13:00:00.000,1.06822,1.06863,1.06770,1.06784,4702.5298
02.01.2023 14:00:00.000,1.06783,1.06819,1.06702,1.06722,4346.5698
02.01.2023 15:00:00.000,1.06723,1.06739,1.06580,1.06600,4860.6602
02.01.2023 16:00:00.000,1.06598,1.06705,1.06510,1.06545,9419.1396
02.01.2023 17:00:00.000,1.06545,1.06619,1.06539,1.06599,6005.4902
02.01.2023 18:00:00.000,1.06601,1.06606,1.06508,1.06519,6279.8999
02.01.2023 19:00:00.000,1.06520,1.06586,1.06499,1.06561,1491.74
02.01.2023 20:00:00.000,1.06560,1.06697,1.06546,1.06630,8741.79
02.01.2023 21:00:00.000,1.06630,1.06725,1.06593,1.06646,3901.1699
02.01.2023 22:00:00.000,1.06646,1.06653,1.06627,1.06634,681.6
02.01.2023 23:00:00.000,1.06652,1.06833,1.06499,1.06765,16056.3301
03.01.2023 00:00:00.000,1.06764,1.06783,1.06666,1.06704,12331.4805
03.01.2023 01:00:00.000,1.06703,1.06741,1.06503,1.06597,21817.0605
03.01.2023 02:00:00.000,1.06597,1.06776,1.06575,1.06763,13008.5
03.01.2023 03:00:00.000,1.06763,1.06783,1.06688,1.06722,9479.5703
03.01.2023 04:00:00.000,1.06722,1.06801,1.06669,1.06672,5399.21
03.01.2023 05:00:00.000,1.06673,1.06706,1.06589,1.06634,13431.7998
03.01.2023 06:00:00.000,1.06633,1.06676,1.06513,1.06521,13234.1504
03.01.2023 07:00:00.000,1.06525,1.06585,1.06199,1.06236,22707.5508
03.01.2023 08:00:00.000,1.06237,1.06282,1.05506,1.05517,46672.2813
03.01.2023 09:00:00.000,1.05518,1.05609,1.05339,1.05473,43667.9492
03.01.2023 10:00:00.000,1.05474,1.05547,1.05252,1.05308,31343.1895
03.01.2023 11:00:00.000,1.05309,1.05359,1.05194,1.05282,22413.8203
03.01.2023 12:00:00.000,1.05281,1.05491,1.05238,1.05355,20857.6309
03.01.2023 13:00:00.000,1.05354,1.05697,1.05303,1.05600,33079.6992
03.01.2023 14:00:00.000,1.05599,1.05973,1.05554,1.05739,40254.3008
03.01.2023 15:00:00.000,1.05742,1.05818,1.05544,1.05554,46211
03.01.2023 16:00:00.000,1.05554,1.05586,1.05371,1.05579,35820.6914
03.01.2023 17:00:00.000,1.05579,1.05589,1.05401,1.05460,20670.7891
03.01.2023 18:00:00.000,1.05460,1.05605,1.05430,1.05563,15136.7598
03.01.2023 19:00:00.000,1.05564,1.05681,1.05550,1.05662,17830.2305
03.01.2023 20:00:00.000,1.05664,1.05688,1.05505,1.05514,16550.9707
03.01.2023 21:00:00.000,1.05514,1.05537,1.05460,1.05466,3983.6399
03.01.2023 22:00:00.000,1.05461,1.05480,1.05450,1.05474,7989.2402
03.01.2023 23:00:00.000,1.05474,1.05542,1.05403,1.05455,10254.2598
04.01.2023 00:00:00.000,1.05453,1.05610,1.05450,1.05579,11795.7002
04.01.2023 01:00:00.000,1.05580,1.05695,1.05569,1.05667,13425.75
